fileName	latitude	longitude	altitude	heading	pitch	roll
image000009.jpg	  35.102860	 -79.091053	5409.900000	 288.782180	  52.363120	  7.151
image000196.jpg	  35.107387	 -79.089428	5409.600000	 284.421910	  52.361170	  6.957
image000406.jpg	  35.112109	 -79.088208	5409.900000	 279.956000	  52.351030	  6.760
image000616.jpg	  35.116731	 -79.087457	5409.900000	 275.637910	  52.344030	  6.469
image000826.jpg	  35.121241	 -79.087142	5410.200000	 271.458750	  52.340090	  6.326
image001036.jpg	  35.125630	 -79.087221	5410.200000	 267.395760	  52.325060	  6.181
image001276.jpg	  35.130485	 -79.087748	5410.200000	 262.872550	  52.316780	  5.920
image001516.jpg	  35.135175	 -79.088708	5409.300000	 258.463530	  52.317180	  5.806
image001756.jpg	  35.139650	 -79.090063	5409.300000	 254.195900	  52.301140	  5.739
image001996.jpg	  35.143923	 -79.091770	5408.700000	 250.023330	  52.303800	  5.587
image002234.jpg	  35.147961	 -79.093780	5408.100000	 245.980090	  52.289440	  5.579
image002474.jpg	  35.151836	 -79.096112	5408.100000	 241.732130	  52.307030	  5.540
image002744.jpg	  35.155904	 -79.099033	5408.100000	 237.343020	  52.310500	  5.431
image003013.jpg	  35.159721	 -79.102273	5407.800000	 233.036450	  52.306760	  5.303
image003283.jpg	  35.163289	 -79.105808	5408.400000	 228.779600	  52.304330	  5.182
image003553.jpg	  35.166577	 -79.109605	5409.000000	 224.563940	  52.293190	  4.955
image003823.jpg	  35.169611	 -79.113661	5408.700000	 220.384960	  52.289190	  4.822
image004093.jpg	  35.172374	 -79.117944	5407.800000	 216.230430	  52.288510	  4.827
image004363.jpg	  35.174894	 -79.122498	5408.100000	 212.053010	  52.280660	  4.656
image004633.jpg	  35.177111	 -79.127219	5408.100000	 207.900570	  52.278360	  4.674
image004903.jpg	  35.179043	 -79.132110	5408.400000	 203.766200	  52.275600	  4.534
image005171.jpg	  35.180668	 -79.137123	5408.100000	 199.660420	  52.270710	  4.402
image005441.jpg	  35.182005	 -79.142344	5408.100000	 195.492710	  52.261950	  4.373
image005711.jpg	  35.183029	 -79.147675	5408.100000	 191.312690	  52.255330	  4.210
image005981.jpg	  35.183745	 -79.153125	5408.100000	 187.103370	  52.243210	  4.131
image006251.jpg	  35.184145	 -79.158695	5408.100000	 182.835030	  52.253810	  3.946
image006521.jpg	  35.184200	 -79.164336	5408.100000	 178.525510	  52.244630	  3.928
image006791.jpg	  35.183896	 -79.170045	5408.700000	 174.161260	  52.247440	  3.753
image007059.jpg	  35.183230	 -79.175759	5409.300000	 169.753960	  52.241070	  3.549
image007299.jpg	  35.182306	 -79.180934	5408.700000	 165.713130	  52.245350	  3.364
image007539.jpg	  35.181064	 -79.186109	5408.700000	 161.597200	  52.242560	  3.313
image007779.jpg	  35.179482	 -79.191272	5409.300000	 157.393300	  52.235280	  3.083
image008019.jpg	  35.177542	 -79.196401	5409.900000	 153.092420	  52.239030	  3.072
image008259.jpg	  35.175231	 -79.201456	5409.900000	 148.677570	  52.239320	  2.898
image008499.jpg	  35.172519	 -79.206431	5410.200000	 144.116350	  52.236850	  2.819
image008709.jpg	  35.169825	 -79.210651	5410.500000	 140.038060	  52.237160	  2.677
image008919.jpg	  35.166810	 -79.214735	5411.500000	 135.849160	  52.236530	  2.416
image009127.jpg	  35.163491	 -79.218621	5411.800000	 131.570720	  52.241810	  2.190
image009337.jpg	  35.159775	 -79.222371	5411.500000	 127.082880	  52.257290	  1.849
image009547.jpg	  35.155700	 -79.225854	5412.100000	 122.474080	  52.265830	  1.706
image009727.jpg	  35.151902	 -79.228603	5412.400000	 118.369540	  52.276550	  1.396
image009907.jpg	  35.147842	 -79.231084	5413.300000	 114.153050	  52.283690	  1.163
image010086.jpg	  35.143431	 -79.233284	5413.900000	 109.732250	  52.291010	  0.861
image010266.jpg	  35.138736	 -79.235119	5413.600000	 105.169480	  52.311630	  0.687
image010446.jpg	  35.133767	 -79.236540	5413.600000	 100.438490	  52.325470	  0.492
image010596.jpg	  35.129347	 -79.237365	5413.300000	  96.302910	  52.337320	  0.504
image010746.jpg	  35.124801	 -79.237799	5413.300000	  92.093140	  52.351460	  0.571
image010896.jpg	  35.120024	 -79.237818	5413.000000	  87.670500	  52.366360	  0.390
image011046.jpg	  35.115097	 -79.237362	5413.600000	  83.107430	  52.373840	  0.583
image011196.jpg	  35.110090	 -79.236396	5414.500000	  78.407610	  52.405200	  0.546
image011346.jpg	  35.105015	 -79.234882	5415.400000	  73.586800	  52.413030	  0.608
image011496.jpg	  35.099915	 -79.232782	5415.400000	  68.627420	  52.417560	  0.833
image011616.jpg	  35.095856	 -79.230654	5415.400000	  64.548570	  52.428180	  1.065
image011736.jpg	  35.091852	 -79.228117	5416.300000	  60.387460	  52.423520	  1.272
image011856.jpg	  35.087941	 -79.225167	5416.600000	  56.149590	  52.419390	  1.464
image011976.jpg	  35.084158	 -79.221804	5416.600000	  51.827760	  52.403610	  1.865
image012094.jpg	  35.080600	 -79.218113	5416.000000	  47.528430	  52.398000	  2.248
image012214.jpg	  35.077156	 -79.213935	5416.000000	  43.032810	  52.401400	  2.644
image012334.jpg	  35.074011	 -79.209466	5416.000000	  38.574160	  52.381320	  3.146
image012454.jpg	  35.071098	 -79.204584	5416.000000	  34.008920	  52.376790	  3.649
image012574.jpg	  35.068524	 -79.199447	5416.300000	  29.436060	  52.360240	  4.156
image012694.jpg	  35.066271	 -79.194017	5416.300000	  24.825040	  52.345630	  4.711
image012814.jpg	  35.064413	 -79.188479	5416.300000	  20.282080	  52.330900	  5.132
image012934.jpg	  35.062911	 -79.182748	5416.000000	  15.706670	  52.312730	  5.651
image013054.jpg	  35.061787	 -79.176876	5416.600000	  11.126890	  52.293350	  6.085
image013174.jpg	  35.061061	 -79.171011	5416.300000	   6.628080	  52.290830	  6.455
image013294.jpg	  35.060717	 -79.165158	5416.600000	   2.165980	  52.353560	  6.893
image013354.jpg	  35.060685	 -79.162300	5416.300000	 359.998410	  52.338730	  7.021
image013474.jpg	  35.060890	 -79.156506	5416.600000	 355.595020	  52.326590	  7.371
image013594.jpg	  35.061441	 -79.150890	5417.200000	 351.298250	  52.322970	  7.673
image013714.jpg	  35.062315	 -79.145442	5417.200000	 347.069720	  52.310700	  7.838
image013834.jpg	  35.063487	 -79.140190	5416.900000	 342.951680	  52.301660	  8.056
image013954.jpg	  35.064918	 -79.135205	5416.600000	 338.932180	  52.301250	  8.190
image014102.jpg	  35.067058	 -79.129268	5416.300000	 334.001360	  52.294160	  8.325
image014252.jpg	  35.069525	 -79.123748	5416.300000	 329.222370	  52.287560	  8.464
image014402.jpg	  35.072261	 -79.118665	5416.600000	 324.600900	  52.286890	  8.391
image014552.jpg	  35.075219	 -79.114022	5416.000000	 320.134250	  52.282360	  8.315
image014702.jpg	  35.078354	 -79.109811	5415.400000	 315.809310	  52.281150	  8.215
image014852.jpg	  35.081623	 -79.106022	5414.500000	 311.632320	  52.281730	  8.080
image015002.jpg	  35.084990	 -79.102646	5414.200000	 307.589930	  52.281520	  7.978
image015182.jpg	  35.089140	 -79.099095	5413.900000	 302.890040	  52.275610	  7.846
